"Database","Pathway","Overlap","Genes","p_value","FDR","Combined_Score","Direction"
"GO_Biological_Process_2023","Innate Immune Response In Mucosa (GO:0002227)","1/21","DEFA5","0.0239","0.1203","169.4","Positive"
"GO_Biological_Process_2023","Inositol Phosphate Metabolic Process (GO:0043647)","1/22","IP6K2","0.0250","0.1203","159.3","Positive"
"GO_Biological_Process_2023","Negative Regulation Of Cell Communication (GO:0010648)","1/22","OSM","0.0250","0.1203","159.3","Positive"
"GO_Biological_Process_2023","Negative Regulation Of Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors (GO:1902042)","1/23","FGG","0.0261","0.1203","150.3","Positive"
"GO_Biological_Process_2023","Positive Regulation Of Interleukin-17 Production (GO:0032740)","1/24","OSM","0.0273","0.1203","142.1","Positive"
"GO_Biological_Process_2023","Regulation Of Heterotypic Cell-Cell Adhesion (GO:0034114)","1/24","FGG","0.0273","0.1203","142.1","Positive"
"GO_Biological_Process_2023","Negative Regulation Of Endothelial Cell Apoptotic Process (GO:2000352)","1/26","FGG","0.0295","0.1203","127.8","Positive"
"GO_Biological_Process_2023","Spindle Assembly Checkpoint Signaling (GO:0071173)","1/26","NDC80","0.0295","0.1203","127.8","Positive"
"GO_Biological_Process_2023","Mitotic Spindle Assembly Checkpoint Signaling (GO:0007094)","1/26","NDC80","0.0295","0.1203","127.8","Positive"
"GO_Biological_Process_2023","Mitotic Spindle Checkpoint Signaling (GO:0071174)","1/26","NDC80","0.0295","0.1203","127.8","Positive"
"GO_Biological_Process_2023","Regulation Of Vasoconstriction (GO:0019229)","1/26","FGG","0.0295","0.1203","127.8","Positive"
"GO_Biological_Process_2023","Regulation Of Protein Transport (GO:0051223)","1/28","DNAJC1","0.0317","0.1203","115.9","Positive"
"GO_Biological_Process_2023","Negative Regulation Of Mitotic Metaphase/Anaphase Transition (GO:0045841)","1/28","NDC80","0.0317","0.1203","115.9","Positive"
